dimension,language_model,model,group,sum_NLL,mean_beta_semantic,mean_beta_freq,mean_beta_phon
50,word2vec,Dynamic/Simdrop,NH,3488.0386209538824,3.919814976655118,8.01366929775946,n/a
50,word2vec,Dynamic/Simdrop,CI,2927.4749998931775,4.5816106759722945,8.690502875390258,n/a
50,word2vec,Static/None,NH,3579.211062795734,2.30968584335107,8.063683315632654,n/a
50,word2vec,Static/None,CI,2997.4478042411,3.0506904653221336,8.946577992065105,n/a
50,speech2vec,Dynamic/Simdrop,NH,3495.31728650845,3.8384011871021495,8.139138695344942,n/a
50,speech2vec,Dynamic/Simdrop,CI,2921.3999681864125,4.555130791194438,8.813831799402912,n/a
50,speech2vec,Static/None,NH,3577.9387928558,2.358865022071413,8.185062993122298,n/a
50,speech2vec,Static/None,CI,2983.1028179986924,3.165819779585666,9.10474555870479,n/a
100,word2vec,Dynamic/Simdrop,NH,3497.549140181899,3.1217545693499047,8.095661774435678,n/a
100,word2vec,Dynamic/Simdrop,CI,2944.764493175751,3.4390911467334035,8.74406706522139,n/a
100,word2vec,Static/None,NH,3591.8457297762443,1.880244210945762,8.13146738636422,n/a
100,word2vec,Static/None,CI,3002.839339440755,2.4537781137026595,9.015539871660616,n/a
100,speech2vec,Dynamic/Simdrop,NH,3496.073338012389,3.245044799281982,8.437441984287343,n/a
100,speech2vec,Dynamic/Simdrop,CI,2951.90823065429,3.559791172731885,9.188214440259584,n/a
100,speech2vec,Static/None,NH,3576.2553427848807,2.062535372008768,8.49017446600032,n/a
100,speech2vec,Static/None,CI,3002.9761768731473,2.5550281040259697,9.406675307450877,n/a
200,word2vec,Dynamic/Simdrop,NH,3508.872480341448,2.545878204456361,8.128126190266844,n/a
200,word2vec,Dynamic/Simdrop,CI,2957.372860327992,2.7764925664339346,8.809819650623773,n/a
200,word2vec,Static/None,NH,3589.7049526812457,1.652236377453297,8.212898420838378,n/a
200,word2vec,Static/None,CI,3017.068834185267,1.9842427106585214,9.049202278071071,n/a
200,speech2vec,Dynamic/Simdrop,NH,3509.6758822015554,2.624284158109289,8.558510396476366,n/a
200,speech2vec,Dynamic/Simdrop,CI,2981.422785117023,2.739594283221641,9.284080396294872,n/a
200,speech2vec,Static/None,NH,3582.2774425660155,1.7662974304131056,8.681900992027375,n/a
200,speech2vec,Static/None,CI,3028.581286098093,1.9923721487169448,9.513238242488796,n/a
300,word2vec,Dynamic/Simdrop,NH,3520.7181794635103,2.2852786306505495,8.120453454852013,n/a
300,word2vec,Dynamic/Simdrop,CI,2968.660617287248,2.4884372663126886,8.885968132674568,n/a
300,word2vec,Static/None,NH,3601.934716060528,1.4508560673717004,8.202417644188378,n/a
300,word2vec,Static/None,CI,3024.3479944226356,1.8010340287103197,9.049009738798121,n/a
300,speech2vec,Dynamic/Simdrop,NH,3526.4651367340844,2.3004824560883916,8.692806889726281,n/a
300,speech2vec,Dynamic/Simdrop,CI,2991.689685673686,2.3909742356131547,9.459982778205092,n/a
300,speech2vec,Static/None,NH,3591.4162126036476,1.5712620689433618,8.790472067813521,n/a
300,speech2vec,Static/None,CI,3037.162211615101,1.7753606859396358,9.621321392358299,n/a
