dimension,language_model,group,mean_num_switches,mean_cluster_size,mean_semantic_similarity,mean_phonological_similarity,mean_frequency
50,word2vec,NH,5.466666666666667,3.458002645502645,0.567586820302043,0.2582515727513227,6.424025766038153
50,word2vec,CI,4.8,3.34738455988456,0.5945438817627067,0.2546853047693047,6.500210780847718
50,speech2vec,NH,5.733333333333333,3.265462962962963,0.5558696163810282,0.2582515727513227,6.424025766038153
50,speech2vec,CI,4.933333333333334,3.2702442002442,0.5848269251980199,0.2546853047693047,6.500210780847718
100,word2vec,NH,5.833333333333333,3.225727513227514,0.45701893551955025,0.2582515727513227,6.424025766038153
100,word2vec,CI,4.866666666666666,3.3120707070707076,0.4802659493061333,0.2546853047693047,6.500210780847718
100,speech2vec,NH,5.733333333333333,3.272804232804233,0.4689653096949918,0.2582515727513227,6.424025766038153
100,speech2vec,CI,4.966666666666667,3.242896825396825,0.4893653176202213,0.2546853047693047,6.500210780847718
200,word2vec,NH,5.833333333333333,3.2782756132756137,0.3657378806080521,0.2582515727513227,6.424025766038153
200,word2vec,CI,5.133333333333334,3.1297355422355424,0.3828969507354302,0.2546853047693047,6.500210780847718
200,speech2vec,NH,5.933333333333334,3.1722354497354504,0.3863208371578141,0.2582515727513227,6.424025766038153
200,speech2vec,CI,5.166666666666667,3.1660052910052907,0.3976501617557665,0.2546853047693047,6.500210780847718
300,word2vec,NH,5.466666666666667,3.458002645502645,0.567586820302043,0.2582515727513227,6.424025766038153
300,word2vec,CI,4.8,3.34738455988456,0.5945438817627067,0.2546853047693047,6.500210780847718
300,speech2vec,NH,5.733333333333333,3.265462962962963,0.5558696163810282,0.2582515727513227,6.424025766038153
300,speech2vec,CI,4.933333333333334,3.2702442002442,0.5848269251980199,0.2546853047693047,6.500210780847718
