item,log_count,count
adder,5.544798285647551,350589.0
albatross,5.400415368073947,251429.0
alligator,5.714162884828213,517801.0
alpaca,4.95691723080208,90556.0
anchovy,5.194275622449115,156414.0
anemone,5.364160611517093,231292.0
ant,6.426146105342156,2667756.0
antelope,5.8451706231690945,700117.0
ape,6.0123989143097845,1028961.0
asp,5.813126442727896,650319.0
ass,6.575836145939483,3765617.0
baboon,5.366632115376755,232612.0
baby,7.278686440118637,18997062.0
badger,5.803131955945502,635524.0
bantam,5.849919148387136,707814.0
basilisk,4.876760369683936,75294.0
bass,6.631500791787887,4280562.0
bat,6.527307346462069,3367498.0
beagle,5.38246012121861,241246.0
bear,7.3662269294348635,23239508.0
beaver,6.273193014173404,1875828.0
bee,6.5239358767172675,3341457.0
beetle,6.02186668353049,1051639.0
bird,7.119400245098412,13164375.0
bison,5.778133878256923,599976.0
bittern,4.910875092236419,81447.0
blackbird,5.486899235488179,306831.0
bluebird,5.313242736814011,205704.0
boa,5.4282741348277055,268086.0
boar,5.909126871242177,811198.0
booby,5.348748668235154,223228.0
boxer,5.838927760148195,690125.0
bruin,5.0383180772179985,109224.0
buck,6.477242550704723,3000838.0
buffalo,6.710471006009965,5134179.0
bug,6.15191934319686,1418794.0
bull,6.95347854120477,8984182.0
bulldog,5.40648567731439,254968.0
bullfrog,4.95755940189748,90690.0
bullock,5.849378255226713,706933.0
bumblebee,4.871660486091867,74415.0
bunny,5.809424355262887,644799.0
bunting,5.588324379365865,387547.0
butterflies,6.028043109366694,1066702.0
butterfly,6.225709010547702,1681547.0
buzzard,5.4100970089997364,257097.0
calf,6.367029611626959,2328250.0
camel,6.123051541332234,1327552.0
cameo,5.409368342413739,256666.0
canary,5.805877219513543,639554.0
canine,5.927853157359154,846941.0
caplin,4.345883212931713,22176.0
cardinal,6.704668528806207,5066039.0
caribou,5.660478423157726,457592.0
carp,5.675990855746194,474232.0
cat,7.013143357640213,10307263.0
caterpillar,5.827004622855106,671436.0
cattle,6.991457032345454,9805213.0
centipede,4.986283438228633,96891.0
chaffinch,4.46372879165109,29089.0
chameleon,5.343097287117658,220342.0
chamois,5.240197177326827,173859.0
char,6.135383292628486,1365788.0
chick,6.09507620359051,1244733.0
chickadee,4.985974049385152,96822.0
chicken,6.827585590887073,6723348.0
chimaera,4.593795399515609,39246.0
chinook,5.354256381535224,226077.0
chipmunk,5.149619341533153,141130.0
clam,5.762969496066653,579388.0
cobra,5.674975896844148,473125.0
cochineal,5.094429199555873,124288.0
cock,6.346605456979673,2221291.0
cockle,5.011980440510842,102797.0
cod,6.29438156355408,1969616.0
codfish,5.164780989926906,146144.0
collie,5.333239650250176,215397.0
colt,6.053553985308133,1131238.0
coney,5.456754598368319,286256.0
coral,6.3316962935540175,2146329.0
cougar,5.313217400963472,205692.0
courser,4.896173347690006,78736.0
cow,6.67904722244091,4775812.0
cows,6.517147317613109,3289632.0
coyote,6.007340169067607,1017045.0
crab,6.158116322134093,1439184.0
crane,6.404228360320313,2536462.0
crawfish,5.106731303443847,127859.0
crayfish,5.429524578975369,268859.0
cricket,5.980349759477952,955762.0
crocodile,5.741384053639696,551295.0
crow,6.39803797445703,2500564.0
cub,5.726807053204774,533098.0
cuckoo,5.697029591133874,497771.0
curlew,5.007986616940909,101856.0
cuttlefish,4.756734973143699,57113.0
dear,7.403255423329563,25307860.0
deer,6.706983738252598,5093118.0
deerhound,4.134368384603379,13626.0
devil,6.932462856442778,8559785.0
dodo,5.2233453525148885,167242.0
doe,6.348022772166679,2228552.0
dog,7.256114027552211,18034912.0
dogs,6.987355490227739,9713047.0
dolphin,5.864843201178727,732560.0
domingo,6.080207139855505,1202838.0
donkey,6.018421695302263,1043330.0
dormouse,4.7076978909884035,51015.0
dory,5.259228229645997,181647.0
dove,6.3243960568149244,2110552.0
dragon,6.477683302226463,3003885.0
drake,6.296060925275513,1977247.0
dromedary,4.745504187086988,55655.0
duck,6.439638803016596,2751939.0
duckling,5.160282407911646,144638.0
ducks,6.183521519153092,1525884.0
eagle,6.640854253377902,4373753.0
eel,5.818212032930584,657979.0
eels,5.537805247782082,344989.0
eider,4.979794132221869,95454.0
elephant,6.363660294815736,2310257.0
elk,6.139565840844793,1379005.0
ermine,5.403002061071823,252931.0
ewe,5.498001612299138,314776.0
falcon,5.936625820225807,864223.0
fawn,5.733247033526323,541062.0
feline,5.559176204996112,362390.0
ferret,5.531510849286077,340025.0
filly,5.220678052404683,166218.0
finch,5.891181625316369,778362.0
firefly,5.169268746404485,147662.0
fish,7.344814257867427,22121484.0
fisher,6.6041543129465685,4019336.0
flea,5.8171434296814395,656362.0
flies,6.597524834507098,3958447.0
flounder,5.421176001852093,263740.0
fly,7.029176525125925,10694895.0
flycatcher,5.169932935692528,147888.0
foal,5.411560786048546,257965.0
fowl,6.059820813491362,1147680.0
fox,6.849727180808252,7075012.0
foxes,5.862631007708198,728838.0
foxhound,4.30033456800233,19968.0
frog,6.319346573095247,2086155.0
fungi,6.223325356673562,1672343.0
gal,6.322333643892176,2100553.0
gamecock,4.296730987471248,19803.0
gander,5.208849659254765,161752.0
gar,5.691204421633736,491139.0
gazelle,5.345203116373407,221413.0
geese,6.039877119733746,1096168.0
giant,6.832324809469714,6797118.0
gibbon,5.914347917934196,821009.0
glaucus,5.095284450378374,124533.0
gnat,5.259366878009922,181705.0
goat,6.365838461351049,2321873.0
goats,6.231891955552197,1705658.0
goby,4.54084231521158,34741.0
goldfinch,4.937713430955812,86639.0
goldfish,5.475262846751197,298719.0
goose,6.301955792613979,2004268.0
gopher,5.597291411492814,395632.0
gorilla,5.657093158490022,454039.0
grasshopper,5.629313758290553,425906.0
grenadier,5.236542299678518,172402.0
greyhound,5.599537026329221,397683.0
grizzly,5.735626042255102,544034.0
grosbeak,4.816228038889112,65498.0
grouse,5.741210709322838,551075.0
grub,5.699742361319838,500890.0
grunt,5.653976200216385,450792.0
guanaco,4.531312831516094,33987.0
guerrilla,6.096613896961374,1249148.0
gull,5.752741228813273,565902.0
hackney,5.428777657209595,268397.0
haddock,5.303176610963539,200991.0
halcyon,5.237744753875185,172880.0
hare,6.3878985783243625,2442860.0
hart,6.509091985025566,3229178.0
hawk,6.384581524618667,2424273.0
hedgehog,5.301448887756075,200193.0
heifer,5.482151540583281,303495.0
hen,6.445523251955108,2789480.0
hermit,6.014281485008181,1033431.0
heron,5.8020043086975415,633876.0
herring,6.001004229777611,1002315.0
hippopotamus,5.258390617696031,181297.0
hog,6.119184601050406,1315784.0
hogs,6.061586667412945,1152356.0
hoopoe,4.558948445978039,36220.0
horse,7.396710536889745,24929326.0
hound,5.993870748444343,985986.0
human,7.989650076469195,97645015.0
huntsman,5.422223670149579,264377.0
husky,5.729942743614132,536961.0
hydra,5.523780272850656,334026.0
hyena,5.284998892997742,192752.0
hyenas,5.120020840732965,131832.0
ibex,4.825581890539186,66924.0
insect,6.519563531584258,3307985.0
jack,7.197453111090285,15756259.0
jackal,5.36467666930824,231567.0
jackass,5.155190235824737,142952.0
jackdaw,4.693507108634517,49375.0
jaguar,5.702579584170681,504173.0
jay,6.5539451335924035,3580512.0
jellyfish,5.224579674896909,167718.0
kangaroo,5.5662182271557255,368314.0
kelpie,4.352857562406997,22535.0
kid,6.774614470316314,5951336.0
kingfisher,5.192818257048295,155890.0
kite,5.883034235930971,763896.0
kitten,5.855944761587928,717703.0
kitty,6.17394081859074,1492591.0
lab,6.5534405002350296,3576354.0
labrador,5.7230458133919235,528501.0
ladybird,4.6760531246518715,47430.0
ladybug,4.670032365287917,46777.0
lamb,6.675464876860283,4736580.0
lark,5.903476337180495,800712.0
larva,5.976938422951595,948284.0
larvae,6.3209059483657715,2093659.0
leech,5.669471227619537,467166.0
lemming,4.733269507717556,54109.0
leopard,5.875985615773725,751598.0
linnet,5.125637388460216,133548.0
lion,6.723957078807458,5296111.0
lioness,5.259252137694464,181657.0
lions,6.277331818966283,1893790.0
lizard,5.895220270212784,785634.0
llama,5.2691415337127205,185841.0
loach,4.58063991200808,38075.0
lobster,5.989108388544925,975233.0
locust,5.795195029328148,624015.0
loon,5.501360560788755,317220.0
louse,5.5166226206439255,328566.0
lynx,5.512449578973323,325424.0
mackerel,5.5550956583105675,359001.0
maggot,5.173780466264274,149204.0
magpie,5.296608157948572,197974.0
maltese,5.364340832278142,231388.0
mammoth,5.911730605866188,816076.0
man,8.405828988772864,254582759.0
mare,6.290514742373586,1952157.0
marmot,4.918208633663445,82834.0
marten,5.341286107028628,219425.0
mastiff,5.059998630149691,114815.0
mastodon,5.047177481021645,111475.0
medusa,5.515280255535054,327552.0
merlin,5.872375405005736,745376.0
mice,6.64058865571272,4371079.0
microbe,5.282184653008621,191507.0
midge,5.3066651635289475,202612.0
mink,5.67333337607206,471339.0
minnow,5.2139982696742635,163681.0
minx,4.846046247789001,70153.0
mite,5.7928502584188255,620655.0
moccasin,5.203511544375016,159776.0
mole,6.347595975831666,2226363.0
mollusk,4.948960379441304,88912.0
mongoose,4.984473304454229,96488.0
monitor,6.74986542557141,5621671.0
monkey,6.401926545662661,2523054.0
monkeys,6.279413683834173,1902890.0
monster,6.500453842183019,3165584.0
moose,5.977754233398593,950067.0
moray,5.30054548715294,199777.0
mosquito,6.026549197894976,1063039.0
moth,6.09035470885875,1231274.0
moths,5.829728851626453,675661.0
mouse,6.776846045694076,5981995.0
mule,6.274039557211087,1879488.0
mules,6.21093914670642,1625321.0
mullet,5.229881413248249,169778.0
muskrat,5.248135176492334,177066.0
mussel,5.342511504700463,220045.0
mustang,5.55104112958063,355665.0
nautilus,5.4603234128867255,288618.0
newt,5.45678190628468,286274.0
nightingale,5.964732805190462,922004.0
nuthatch,4.748366361334403,56023.0
orang,5.173162949961738,148992.0
oriole,5.21287181166961,163257.0
ostrich,5.653586810788207,450388.0
ostriches,4.984900691054086,96583.0
otter,5.857683409329277,720582.0
owl,6.24711560856848,1766508.0
ox,6.331019333831093,2142986.0
oxen,6.165281134213955,1463124.0
oyster,6.065144455354112,1161835.0
oysters,6.01909426346979,1044947.0
panther,5.886284809499138,769635.0
papillon,4.715694216416291,51963.0
parakeet,4.868873572590635,73939.0
parrot,5.921096266301706,833866.0
partridge,5.867409735227887,736902.0
peacock,6.002633379026276,1006082.0
pelican,5.581928051145178,381881.0
penguin,6.250420490279947,1780002.0
perch,5.988299372756467,973418.0
peregrine,5.460870792430839,288982.0
person,7.926915522316892,84511444.0
pewee,4.606596309179285,40420.0
pheasant,5.61970467073676,416586.0
phoenix,6.320539674276783,2091894.0
pig,6.6115429693402525,4088302.0
pigeon,6.104848190382752,1273058.0
piggy,5.222497968666424,166916.0
pike,6.311388052268892,2048274.0
plover,5.303142037334356,200975.0
polar,6.5345166324914175,3423865.0
pollock,5.880799306043125,759975.0
pony,6.17971950214996,1512584.0
poodle,5.355604750958804,226780.0
porcupine,5.580630786880422,380742.0
pork,6.422526808414075,2645616.0
porpoise,5.233392128254599,171156.0
possum,5.440409986149937,275683.0
poultry,6.2976058003222,1984293.0
primate,5.892763902410164,781203.0
ptarmigan,5.007303871191267,101696.0
puffin,4.927277950126258,84582.0
pug,5.300371540618163,199697.0
pullet,4.854646055393364,71556.0
puma,5.219539994340191,165783.0
pup,5.682114376718354,480966.0
puppy,6.031090808142931,1074214.0
puss,5.292524099000893,196121.0
quail,5.8588348459200414,722495.0
rabbit,6.568628648650139,3703639.0
ram,6.409241757818427,2565912.0
rat,6.766463412704134,5840680.0
rattler,5.068363997303172,117048.0
rattlesnake,5.648320971520084,444960.0
raven,6.238793300025297,1732979.0
ray,7.101131995080994,12622111.0
redbird,4.497800130281187,31463.0
redbreast,4.621249004426977,41807.0
redtail,3.9293167267534956,8498.0
reindeer,5.764092404901754,580888.0
reptile,5.656324398058997,453236.0
rhinoceros,5.506841784447809,321249.0
roach,5.688992570490148,488644.0
robin,6.526197074370194,3358900.0
roe,6.0479656833202995,1116775.0
rook,5.496515903121684,313701.0
rooster,5.703855164847555,505656.0
sable,5.823362054548198,665828.0
salamander,5.4102709642521845,257200.0
salmon,6.535997664047996,3435561.0
sardine,5.159028502547719,144221.0
scorpion,5.601377613184255,399372.0
seal,6.7887631027870565,6148414.0
serpent,6.380056315716282,2399144.0
shad,5.532233167695933,340591.0
shark,6.054603863042017,1133976.0
sheep,6.924172870877423,8397942.0
shellfish,5.7011576722457065,502525.0
shepherd,6.542772536874888,3489575.0
shrew,5.545810408357609,351407.0
shrimp,6.177499850277711,1504873.0
silkworm,5.188858203886616,154475.0
skate,5.583905769357642,383624.0
skunk,5.613026358359985,410229.0
skylark,5.091540343178528,123464.0
sloth,5.603616316582675,401436.0
slug,5.665824802838091,463260.0
smelt,5.594605777500805,393193.0
snail,5.853805251565671,714176.0
snake,6.615078485603011,4121720.0
snapper,5.331625670132209,214598.0
snipe,5.346845677786484,222252.0
sow,6.1297630202019695,1348227.0
spaniel,5.358528738458357,228312.0
sparrow,6.063752811669504,1158118.0
spider,6.281649128444952,1912710.0
sponge,6.141135776324035,1383999.0
sprat,4.876979497731716,75332.0
squab,4.834547857680949,68320.0
squirrel,6.0808403351169735,1204593.0
stag,5.785376109826208,610065.0
stallion,5.768888839464526,587339.0
starfish,5.312262005983347,205240.0
starling,5.492662626854691,310930.0
steed,5.876402030170852,752319.0
steer,6.135401417160933,1365845.0
stork,5.487757546216281,307438.0
sturgeon,5.528554208673149,337718.0
sunfish,5.03187281002181,107615.0
swallow,6.403070565854525,2529709.0
swan,6.231459650478437,1703961.0
swift,6.724864390368658,5307187.0
swine,6.081945041494418,1207661.0
tabby,5.250627340622291,178085.0
tadpole,5.208922146596247,161779.0
takin,5.341377142473202,219471.0
tanager,4.944635635310955,88031.0
tern,5.623744310688363,420479.0
terrier,5.578885507696584,379215.0
thoroughbred,5.421371912171191,263859.0
thrush,5.684989803348284,484161.0
tick,6.018220179674615,1042846.0
tiger,6.389522059909658,2452009.0
titmouse,5.029777305549935,107097.0
toad,5.885895277316733,768945.0
tortoise,5.793371248918955,621400.0
tortuga,4.732039745997672,53956.0
triggerfish,4.0884550450441655,12259.0
trotter,5.545011299556113,350761.0
trout,6.393416722673426,2474097.0
trumpeter,5.383989407816296,242097.0
tunny,4.668302031972607,46591.0
turbot,4.854973673726417,71610.0
turkey,6.767768346000089,5858256.0
turtle,6.229758099473612,1697298.0
unicorn,5.573452981698775,374501.0
urchin,5.536063266670873,343608.0
veal,5.902221616189981,798402.0
vermin,5.627094337683043,423735.0
viper,5.482042772682731,303419.0
vulture,5.633869235502231,430397.0
walrus,5.417803722639881,261700.0
warbler,5.618819722452,415738.0
wasp,5.783422589026987,607327.0
waterfowl,5.5015795558047556,317380.0
weasel,5.5987894128209765,396999.0
whale,6.338615041911581,2180796.0
whelp,4.934458049877716,85992.0
whiff,5.476927226514887,299866.0
whitefish,5.146025654197784,139967.0
whiting,5.853660498292963,713938.0
wildcat,5.477536531165107,300287.0
winkle,5.446175104124868,279367.0
wolf,6.74554897590712,5566074.0
wolfhound,4.520575229285187,33157.0
wolverine,5.156106757366648,143254.0
wolves,6.265703917714546,1843758.0
woman,7.866155854993087,73477751.0
woodchuck,5.028713554347253,106835.0
woodcock,5.496351125680031,313582.0
woodpecker,5.589297111474354,388416.0
worm,6.383063673510596,2415815.0
wren,5.85059294048872,708913.0
yak,5.193625418492879,156180.0
yellowlegs,4.278707883337975,18998.0
zebra,5.561689192213486,364493.0
oscar,6.425395628450827,2663150.0
pilgrim,6.225464617623463,1680601.0
guinea,6.538172806584748,3452811.0
girdle,5.943410913591679,877831.0
lice,5.822029396941386,663788.0
killer,6.3725215145077385,2357879.0
pegasus,5.418849614774226,262331.0
prairie,6.511780187081419,3249228.0
rainbow,6.313541377301296,2058455.0
water,8.128616303554661,134467182.0
african,7.284544989024378,19255065.0
rodents,5.818422535647626,658298.0
american,8.145126465703475,139677504.0
asian,6.79845506532842,6287168.0
insects,6.715288173649403,5191444.0
australian,6.530851419343532,3395091.0
pets,6.144792078497715,1395700.0
